Name	smiles
CHEMBL1097904	COc1cc(C)c([S@+](C)O)cc1OC
CHEMBL1097999	CCNc1cc([O-])c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\[C@@H](C)[C@H](C)OC2=O
CHEMBL1098	CCCC[N@H+]1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
CHEMBL109831	Nc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1F
CHEMBL1099	CC1(C)OC(=O)[N-]C1=O
CHEMBL11	C[NH+](C)CCCN1c2ccccc2CCc2ccccc21
CHEMBL110	O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
CHEMBL1100	CC[C@@]1(C)OC(=O)[N@H+](C)C1=O
CHEMBL110094	C[NH+](C)CCC=C1c2ccccc2C(C)(C)c2ccccc21
CHEMBL1102	CC[C@]1(c2ccccc2)CCC(=O)NC1=O
CHEMBL1103	O=C1OCC[N@H+]1/N=C/c1ccc([N+](=O)[O-])o1
CHEMBL110317	CC(=O)c1ccc2[nH]cc(CC[NH3+])c2c1
CHEMBL1104	CC[N+](C)(C)c1cccc([O-])c1
CHEMBL110691	CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
CHEMBL110739	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO
CHEMBL1108	O=C(CCC[N@@H+]1CC=C(n2c(=O)[n-]c3ccccc32)CC1)c1ccc(F)cc1
CHEMBL1109	Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
CHEMBL111	Cc1c(C(=O)[N-]N2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
CHEMBL1110	Cc1[n-]cnc1C[N@H+]1CCc2c(c3ccccc3n2C)C1=O
CHEMBL1111	COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)[O-]
CHEMBL1112	O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
CHEMBL111232	CC(C)OCC(COC(C)C)OCn1cnc2cnc(N)nc21
CHEMBL111272	NC(=[NH2+])NCc1cccc(F)c1
CHEMBL1113	Clc1ccc2c(c1)C(N1CC[NH2+]CC1)=[NH+]c1ccccc1O2
CHEMBL1114	Cn1cnc2c1c(=O)[n-]c(=O)n2C
CHEMBL1115	C[n+]1cccc(OC(=O)[NH+](C)C)c1
CHEMBL111659	C#Cc1cncc([C@@H]2CCC[N@H+]2C)c1
CHEMBL1117	CC(=O)[C@]1(O)Cc2c([O-])c3c(c([O-])c2[C@@H](O[C@H]2C[C@H]([NH3+])[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
CHEMBL1118	C[NH+](C)C[C@@H](c1ccc([O-])cc1)C1(O)CCCCC1
CHEMBL112	CC(=O)Nc1ccc([O-])cc1
CHEMBL1123	CC[NH+](CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
CHEMBL112687	CC(=O)Nc1ccc(C(=O)[O-])cc1
CHEMBL112797	CCCC[P@@](=O)([O-])CCC[NH3+]
CHEMBL1129	O=c1[n-]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F
CHEMBL11298	[NH3+][C@@H](CO)C(=O)[O-]
CHEMBL113	Cn1c(=O)c2c(ncn2C)n(C)c1=O
CHEMBL1130	C[C@H]1O[C@@H](n2cc(F)c(=O)[n-]c2=O)[C@H](O)[C@@H]1O
